RatingAverage,QuantitySold,ReviewCount,OriginalPrice,ReviewThankCount,ProductUsageTime,ReviewContent,ReviewStar
4.8,12418,3492,799000,1,496282.0,sản phẩm ok. tuy nhiên tiki giao hàng thiếu quà tặng. đã phản ảnh với shop thì shop nói là do tiki đóng gói kêu liên hệ với tiki. phản ánh với tiki thì cả tuần rồi chưa thấy kết quả gì. chỉ biết đợi. ko biết tiki với shop làm việc với nhau kiểu gì.,3
4.8,12418,3492,799000,0,697786.0,"bộ sp nhìn chắc nhưng đầu cây lâu k cố định dc nên nó k đẩy theo ý mình muốn theo chiều hình chữ nhật, có thể bên cty gọi lại cho mình chỉ cách sd dc k?? Chứ hiện tại nước 2 bên hộc tràn chung vs nhau k tách dc nước dơ và nc sạch. Thanks sh. 0938734159",3
4.8,12418,3492,799000,0,21193.0,"sản phẩm dùng tốt, shop gửi hàng nhanh. Tuy nhiên về phía Tiki và đơn vị vận chuyển giao hàng lâu, giải quyết chậm dù yêu cầu nhiều lần trong nhiều ngày",3
4.8,12418,3492,799000,0,14323.0,"Giao 2 thùng nhưng đã bị vỡ 1 thùng rồi Tiki ơi! Nhờ bên Tiki hỗ trợ đổi hàng nhé!
Sản phẩm sử dụng ok lắm nên đã đặt mua thêm , nhưng nay giao hàng bị lỗi ạ",3
4.8,12418,3492,799000,0,12379.0,"Mua 3 , hư 1 vì khớp nối ko có ren để lắp. 2 còn lại ok dù giao chậm gần 1 tháng.",3
4.8,12418,3492,799000,0,11855.0,"Sản phẩm thì xem qua thấy ok dù chưa sử dụng nhưng bán buôn hơi lập lờ, sp quảng cáo là tặng thêm 2 miếng lau nhưng hàng nhận được chỉ có 1.",3
4.8,12418,3492,799000,0,0,"1. Ko có lỗ thoát nước ở đáy cho dễ xả nước bẩn
2. Phần vắt khô nước bẩn lại bị vắt sang phần nước sach.
3. Cây lau ko xoay 360 độ được",3
4.8,12418,3492,799000,0,882050.0,"hơi tệ khi không có nút tháo nước cạnh thùng và chổi chỉ quay đc 1 chiều nhất định còn đâu mọi thứ khá ổn, thấm hút tốt.",3
4.8,12418,3492,799000,0,152694.0,"giẻ lau không thấm lắm,khá là khó để vắt,giặt.ưu điểm là thùng nhỏ gọn còn lại là không ok",3
4.8,12418,3492,799000,0,0,"Hàng cũng dc, tuy nhiên khi bị bẩn bám vào phía dưới thùng ko mở ra dc để vệ sinh, thùng nên có bánh xe để tiện hơn trong việc di chuyển",3
4.8,12418,3492,799000,0,872998.0,"Bình thường vì khi các bạn bé dùng hơi khó vắt khi cho vào, chiều xoay của cây lau ko xoay như quảng cáo",3
4.8,12418,3492,799000,0,258742.0,Quá dởm chua xài đã bị gãy,3
4.8,12418,3492,799000,0,1079.0,Mỏng mảnh quá! Thùng dầy lên. Va đập đỡ vỡ,3
4.8,12418,3492,799000,0,4641558.0,"Hàng chính hãng, thùng chắc chắn. Cây lâu sau vật không được khô như quảng cáo. Tấm lau là miếng dán vào cây, dễ bung ra.",3
4.8,12418,3492,799000,0,1110294.0,Ko dc tiện dụng lắm. Giẻ ko vắt dc khô nước nên lau nhà vệt ướt,3
4.8,12418,3492,799000,0,871885.0,"Lau sạch nhưng đẩy khó đi, mất sức, không phù hợp vs nhà lát gạch men",3
4.8,12418,3492,799000,0,178825.0,"sản phẩm dùng được, khi vắt ko xoay đc 2 chiều nên 1 đầu trên vẫn chưa đc sạch.",3
